id,geonameid,name,asciiname,alternatenames,latitude,longitude,featureclass,featurecode,countrycode,cc2,admin1code,admin2code,admin3code,admin4code,population,elevation,dem,timezone,modificationdate
9230830,4171563,St. Petersburg,St. Petersburg,"SPG,Saint Petersburg,St. Petersburg",27.77086,-82.67927,P,PPL,US,,FL,103,,,257083,13,16,America/New_York,2017-03-09
2774394,3120619,L'Hospitalet de Llobregat,L'Hospitalet de Llobregat,"Hospitalet de Llobregat,Ospitalet-de-L'obregat,l'Hospitalet,l'Hospitalet de Llobregat,Оспиталет-де-Льобрегат",41.35967,2.10028,P,PPL,ES,,56,B,08101,,257038,,18,Europe/Madrid,2018-03-09
6362450,2326171,Ondo,Ondo,"Ondo,Ондо",7.09316,4.83528,P,PPLA2,NG,,48,29016,,,257005,,263,Africa/Lagos,2016-01-30
6292932,1049261,Chimoio,Chimoio,"Chimoio,Chimoyo,Shimojo,Simojas,VPY,Vila Pery,shimoio,shymwyw,simoiu,xi mo you,Šimojas,Шимойо,شیمویو,შიმოიო,希莫尤,시모이우",-19.11639,33.48333,P,PPLA,MZ,,10,,,,256936,,709,Africa/Maputo,2012-01-19
10405529,5359777,Irvine,Irvine,"rvajn,Ervajn,Irvajn,Irvin,Irvinas,Irvine,abain,arfayn,arwayn,arwayn  kalyfrnya,eobain,er wan,ou wen,Ервайн,Ервајн,Ирвайн,Ирвин,Ървайн,אירוויין,إرفاين,اروائن,ارواین، کالیفرنیا,アーバイン,歐文,爾灣,어바인",33.66946,-117.82311,P,PPL,US,,CA,059,,,256927,17,22,America/Los_Angeles,2017-03-09
2875776,660158,Espoo,Espoo,"Ehspoo,Esbo,Espo,Espoo,ai si bo,esupo,Έσποο,Еспо,Еспоо,Эспоо,ესპოო,エスポー,埃斯波",60.2052,24.6522,P,PPLA3,FI,,01,011,049,,256760,,16,Europe/Helsinki,2016-06-11
2800192,6544489,Latina,Latina,"Distrito Latina,Latina,Latina distritu,latyna,ratina,Լատինա,لاتینا,ラティーナ",40.38897,-3.74569,P,PPLX,ES,,29,M,28079,10,256644,,652,Europe/Madrid,2017-05-26
8112323,2051523,Bratsk,Bratsk,"BTK,Brack,Brats'k,Bratsk,Bratska,Bratskas,Gorad Brack,beulacheukeu,bratsk,bu la ci ke,buratsuku,Братск,Братськ,Горад Брацк,براتسك,براتسک,ブラーツク,布拉茨克,브라츠크",56.1325,101.61417,P,PPLA2,RU,,20,11749372,,,256600,,443,Asia/Irkutsk,2017-11-05
5819142,4006702,Ensenada,Ensenada,"ESE,Ehnsenada,Enseada,Ensenada,ansnada  bakha kalyfrnya,ansynada,aynsynada  bakha kylyfwrnya,en sen na da,ensenada,xen se na da,Енсенада,Энсенада,אנסנדה,إنسينادا,انسنادا، باخا کالیفرنیا,اینسینادا، باخا کیلیفورنیا,เอนเซนาดา,ენსენადა,エンセナーダ,恩森那達,엔세나다",31.87149,-116.60071,P,PPLA2,MX,,02,001,,,256565,,29,America/Tijuana,2016-11-22
8888861,299817,Tarsus,Tarsus,"Antiochia ad Cydnum,Gorad Tarsus,Tars,Tarsas,Tarse,Tarso,Tarson,Tarsos,Tarsous,Tarsus,Tarsus i Mersin,Tersus,da shu,taleususeu,tarsusi,tarsws,tarususu,trsws,trsws  mrsyn,Ταρσός,Горад Тарсус,Тарс,Тарсус,Տարսոն,טרסוס,تارسوس,ضلع ٹارسس,طرسوس,طرسوس، مرسین,თარსუსი,タルスス,大數,타르수스",36.91766,34.89277,P,PPLA2,TR,,32,,,,256482,,21,Europe/Istanbul,2015-09-06
9755721,4705349,Laredo,Laredo,"LRD,Laredo,Laredum,Villa de San Augustine de Laredo,la lei duo,larydw,larydw  tgzas,leoleido,raredo,Ларедо,לארדו,لاريدو,لاریدو، تگزاس,لاریڈو، ٹیکساس,لریڈو,ラレド,拉雷多,러레이도",27.50641,-99.50754,P,PPLA2,US,,TX,479,,,255473,126,132,America/Chicago,2017-03-09
4549634,116996,Sari,Sari,"SRY,Sari,Sari i Iran,Saris,Sariyo,Sarí,Sarî,Shahr-i-Tajan,Shari-i-Tajan,Sori,Szari,Szári,Sárí,Sārī,sa li shi,sali,sari,sary,sary  ayran,Σάρι,Сари,Сарі,Сорӣ,Սարի,سارى,ساري,ساری,ساری، ایران,सारी,სარი,サーリー,薩里市,사리",36.56332,53.06009,P,PPLA,IR,,35,,,,255396,,43,Asia/Tehran,2013-05-12
3826448,1272181,Durg,Durg,"Drug,Durg,Durga,drg,du er ge,durga,dwrg,dwrj,Дург,درگ,دورج,دورگ,ڈرگ,दुर्ग,দুর্গ,ଦୁର୍ଗ,杜爾格",21.19147,81.27619,P,PPL,IN,,37,409,,,255283,,303,Asia/Kolkata,2015-08-30
9045454,695594,Rivne,Rivne,"Eractum,Gorad Rouna,RWN,Rivne,Rivno,Rivnė,Riwne,Rovno,Rowne,Ruvne,Równe,liune,luo fu nuo,riune,rovno,rwbnw,rwfnw,rywn,rywnh,rʼwwnʼ,Горад Роўна,Ровно,Рівне,Ռովնո,ראוונא,ראוונע,רובנו,روفنو,ریون,ریونه,როვნო,リウネ,羅夫諾,리우네",50.62308,26.22743,P,PPLA,UA,,19,,,,255106,,207,Europe/Kiev,2017-12-04
1450808,1529114,Turpan,Turpan,"Gorad Turfan,Lukchun,T'u-lu-fan,T'u-lu-fan-chen,T'u-lu-fan-hsien,T'urfang,TLQ,Tourfan,Tufan,Tulupan,Tulupan Xian,Turfan,Turfán,Turpan,T’u-lu-fan,T’u-lu-fan-chen,T’u-lu-fan-hsien,T’urfang,torufan shi,tu lu fan,tu lu fan shi,tu lu fan xian,tulupan si,Горад Турфан,Турпан,Турфан,تۇرپان,トルファン市,吐鲁番,吐鲁番县,吐鲁番市,투루판 시",42.94769,89.17886,P,PPLA3,CN,,13,,,,254900,,41,Asia/Urumqi,2016-03-10
6374323,2338106,Ikot Ekpene,Ikot Ekpene,Ikot Ekpene,5.18194,7.71481,P,PPLA2,NG,,21,3014,,,254806,,89,Africa/Lagos,2016-01-30
1487145,1808198,Heze,Heze,"Caozhou,Che-ce,Ha Trach,Ha-tek-chhi,He-tse,Heze,Ho-dek,Ho-tse,Ho-tse-shih,Hotseh,Hotseh-hsien,Hà Trạch,Hâ-te̍k-chhī,Hê-tse,Hò̤-dĕk,Khece,Khehczeh,Ko-tse,Ko-tse-hsien,Ts'ao-chou,Ts'aochow,Tsaochowfu,Ts’ao-chou,Ts’aochow,he ze,he ze shi,heojjeo si,hzh,ka ze shi,Хеце,Хэцзэ,هزه,ہازا,カ沢市,菏泽,菏泽市,菏澤,허쩌 시",35.23929,115.47358,P,PPLA2,CN,,25,,,,254602,,53,Asia/Shanghai,2014-06-05
4900154,2110556,Yamagata,Yamagata,"GAJ,Jamagata,Yamagata,Yamagata-shi,Yamagatashi,shan xing,shan xing shi,yamagata,yamagatashi,Ямагата,やまがた,やまがたし,ヤマガタ,ヤマガタシ,山形,山形市",38.23333,140.36667,P,PPLA,JP,,44,2110552,,,254538,,321,Asia/Tokyo,2017-04-09
5797105,3984583,Santa Catarina,Santa Catarina,,25.67325,-100.45813,P,PPL,MX,,19,048,,,254472,,675,America/Monterrey,2015-06-22
3414419,1646170,Cirebon,Cirebon,"CBN,Cheribon,Chirebon,Cirebon,Cirebon kutha,Kota Cirebon,Kutha Cirebon,Tjerebon,Tjeribon,Tjirebon,chileubon,chireboni,chirubon,jing li wen,syrybwn,Чиребон,سيريبون,سیریبون,ჩირებონი,チルボン,井裡汶,치르본",-6.7063,108.557,P,PPL,ID,,30,,,,254298,,8,Asia/Jakarta,2012-01-17
770339,3456068,Novo Hamburgo,Novo Hamburgo,"Novo Amburgo,Novo Hamburg,Novo Hamburgo,Novu-Amburgu,Potiguara,QHV,nobho hamaburgo,nobuambuleugu,nowu xam bur ku,xin han bao,Ново Амбурго,Нову-Амбургу,নোভো হামবুর্গো,โนวูอัมบูร์กู,ノヴォ・アンブルゴ,新漢堡,노부암부르구",-29.67833,-51.13056,P,PPL,BR,,23,4313409,,,253841,,56,America/Sao_Paulo,2012-08-03
600398,1336134,Cox’s Bāzār,Cox's Bazar,"CXB,Cox's Bazar,Cox’s Bāzār,Koks-Bazar,Кокс-Базар",21.43973,92.00955,P,PPL,BD,,84,2022,202224,20222447,253788,,2,Asia/Dhaka,2017-04-04
7759671,3099424,Gdynia,Gdynia,"Civitas Gdinensis,Gdina,Gdingen,Gdinio,Gdiniô,Gdinja,Gdinya,Gdiņa,Gdyna,Gdyne,Gdynia,Gdynja,Gdynė,Gdyně,Gdyńa,Gdyňa,Gorad Gdynja,Gotenhafen,Gothenhafen,Kak-ten-ni-a,Kak-tên-nì-â,Nkntinia,QYD,gdinia,gdnya,gdynyh,ge ding ni ya,geudinia,ghdynya,gudinya,Γκντίνια,Гдиня,Гдиња,Гдыня,Горад Гдыня,Գդինյա,גדיניה,غدينيا,گدنیا,გდინია,グディニャ,格丁尼亚,그디니아",54.51889,18.53188,P,PPL,PL,,82,2262,226201,,253730,,14,Europe/Warsaw,2010-09-13
2800196,6544493,Carabanchel,Carabanchel,"Carabanchel distritu,Distrito Carabanchel,Karabancelo,Karabanĉelo,karabancheru,karabantshyl,كارابانتشيل,カラバンチェル",40.39094,-3.7242,P,PPLX,ES,,29,M,28079,11,253678,,622,Europe/Madrid,2017-05-26
3816453,1262131,Naihāti,Naihati,"Naihati,Naihāti",22.89396,88.41521,P,PPL,IN,,28,337,,,253221,,18,Asia/Kolkata,2014-10-14
759201,3444914,Vitória da Conquista,Vitoria da Conquista,"Conquista,VDC,Vitoria da Conquista,Vitorija da Konkista,Vitorija-da-Konkista,Vitória da Conquista,bhitoriya da konaku'ista,wei duo li ya-da kong ji si ta,Витория-да-Конкиста,Виторија да Конкиста,ভিটোরিয়া ডা কোনকুইস্টা,ვიტორია-და-კონკისტა,ヴィトリア・ダ・コンキスタ,维多利亚-达孔基斯塔",-14.86611,-40.83944,P,PPL,BR,,05,2933307,,,253137,,876,America/Bahia,2012-08-03
1483362,1804386,Laohekou,Laohekou,"Guanghua,Ho-k'ou-chen,Ho-k’ou-chen,Kuang-hua,LHK,Lao-ho-k'ou,Lao-ho-k’ou,Laohekou,Laohokow,Lǎohékǒu,lao he kou,老河口",32.38583,111.66778,P,PPL,CN,,12,1790585,1804385,,253112,,93,Asia/Shanghai,2017-07-16
1387592,3870282,Talcahuano,Talcahuano,"Gorad Tal'kauana,Tal'kauano,Talcahuano,Talkahuanas,Talkauano,Talkavano,Talkawanu,ta er ka wa nuo,tal kaxaw no,talkahwanw,talkauano,tarukawano,Горад Талькауана,Талкауано,Талькауано,טאלקאוואנא,تالكاهوانو,تالکاهوانو,ตัลกาอัวโน,タルカワノ,塔爾卡瓦諾,탈카우아노",-36.72494,-73.11684,P,PPL,CL,,06,81,08110,,252968,,15,America/Santiago,2013-01-11
11591831,962367,Richards Bay,Richards Bay,"RCB,Ricardusbaia,Richards Bay,Richards Bej,Richards-Bej,Richardsbaai,Ричардс Беј,Ричардс-Бей",-28.78301,32.03768,P,PPLA2,ZA,,02,DC28,KZN282,,252968,,9,Africa/Johannesburg,2012-07-12
3105816,2633691,Wolverhampton,Wolverhampton,"Goulverchampton,Heantun,Ulvurkhamptun,Vulvergempton,Vulverhamptonas,Vulverhempton,Vulverhemptona,Vulverkhempton,Wolverhampton,Wulfrunehantona,XVW,ulbeohaempeuteon,u~oruvu~ahanputon,wlwrhmptwn,wu er fu han pu dun,wwlbrhmptwn,wwlfrhambtwn,Γουλβερχάμπτον,Вулвергемптон,Вулверхемптон,Улвърхамптън,Վուլվերհեմպտոն,וואלווערהאמפטאן,וולברהמפטון,ولورهمپتون,وولفرهامبتون,وولورہیمپٹن,วุลเวอร์แฮมป์ตัน,ვულვერჰემპტონი,ウォルヴァーハンプトン,伍爾弗漢普頓,울버햄프턴",52.58547,-2.12296,P,PPLA2,GB,,ENG,Q3,41UF,,252791,,160,Europe/London,2018-03-12
8319534,379555,El Fasher,El Fasher,"Al Fashir,Al Fāshir,Al-Faschir,Al-Fashir,ELF,Ehl'-Fashir,El Fasher,Tendelti,Эль-Фашир",13.62793,25.34936,P,PPLA,SD,,55,,,,252609,,748,Africa/Khartoum,2013-12-14
8472630,2244799,Thiès Nones,Thies Nones,,14.78333,-16.96667,P,PPL,SN,,07,,,,252320,,85,Africa/Dakar,2006-01-17
